,sample,energy,num_occurrences,chain_break_fraction
50,"{3: 0, 4: 1, '3*4': 1, 0: 1, 2: 0, '0*2': 0, 1: 1, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 0}",-12.071000000000005,5,0.0
51,"{3: 1, 4: 0, '3*4': 1, 0: 1, 2: 1, '0*2': 1, 1: 1, '1*2': 1, '1*0*2': 1, 5: 1, '0*5': 1, '0*3': 1}",-12.071000000000009,1,0.0
52,"{3: 1, 4: 1, '3*4': 1, 0: 1, 2: 0, '0*2': 0, 1: 1, '1*2': 1, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 1}",-12.046000000000003,2,0.0
53,"{3: 1, 4: 1, '3*4': 1, 0: 1, 2: 1, '0*2': 1, 1: 0, '1*2': 1, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 1}",-12.046000000000006,3,0.0
54,"{3: 0, 4: 1, '3*4': 1, 0: 1, 2: 1, '0*2': 1, 1: 0, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 0}",-11.996000000000006,3,0.0
55,"{3: 1, 4: 0, '3*4': 1, 0: 1, 2: 1, '0*2': 1, 1: 1, '1*2': 1, '1*0*2': 1, 5: 0, '0*5': 0, '0*3': 1}",-11.996000000000013,9,0.0
56,"{3: 0, 4: 1, '3*4': 1, 0: 1, 2: 1, '0*2': 1, 1: 0, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 0}",-11.996000000000006,9,0.0
57,"{3: 1, 4: 1, '3*4': 1, 0: 1, 2: 1, '0*2': 1, 1: 1, '1*2': 1, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 1}",-11.971,1,0.0
58,"{3: 0, 4: 1, '3*4': 1, 0: 1, 2: 1, '0*2': 1, 1: 1, '1*2': 1, '1*0*2': 1, 5: 0, '0*5': 0, '0*3': 0}",-11.921000000000003,6,0.0
59,"{3: 0, 4: 1, '3*4': 1, 0: 1, 2: 1, '0*2': 1, 1: 1, '1*2': 1, '1*0*2': 1, 5: 1, '0*5': 1, '0*3': 0}",-11.921000000000003,7,0.0
60,"{3: 0, 4: 0, '3*4': 0, 0: 0, 2: 1, '0*2': 0, 1: 1, '1*2': 1, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 0}",-10.3,3,0.0
61,"{3: 0, 4: 1, '3*4': 1, 0: 1, 2: 1, '0*2': 0, 1: 1, '1*2': 1, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 0}",-10.171000000000006,2,0.0
62,"{3: 0, 4: 1, '3*4': 1, 0: 1, 2: 1, '0*2': 0, 1: 1, '1*2': 1, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 0}",-10.171000000000006,1,0.0
63,"{3: 0, 4: 1, '3*4': 0, 0: 0, 2: 1, '0*2': 0, 1: 1, '1*2': 1, '1*0*2': 0, 5: 1, '0*5': 0, '0*3': 0}",-10.150000000000002,8,0.0
64,"{3: 1, 4: 0, '3*4': 0, 0: 1, 2: 0, '0*2': 1, 1: 0, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 1}",-10.146,5,0.0
65,"{3: 1, 4: 0, '3*4': 0, 0: 1, 2: 1, '0*2': 1, 1: 0, '1*2': 1, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 1}",-10.146,8,0.0
66,"{3: 1, 4: 1, '3*4': 1, 0: 1, 2: 1, '0*2': 0, 1: 0, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 1}",-10.071000000000005,1,0.0
67,"{3: 1, 4: 1, '3*4': 1, 0: 1, 2: 0, '0*2': 0, 1: 1, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 0}",-10.071000000000003,1,0.0
68,"{3: 1, 4: 1, '3*4': 1, 0: 1, 2: 0, '0*2': 0, 1: 1, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 0}",-10.071000000000005,2,0.0
69,"{3: 0, 4: 0, '3*4': 0, 0: 1, 2: 0, '0*2': 0, 1: 1, '1*2': 1, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 0}",-10.071000000000002,2,0.0
70,"{3: 0, 4: 0, '3*4': 0, 0: 1, 2: 0, '0*2': 1, 1: 0, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 0}",-10.071000000000005,3,0.0
71,"{3: 0, 4: 0, '3*4': 0, 0: 1, 2: 1, '0*2': 1, 1: 1, '1*2': 1, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 0}",-10.071000000000002,5,0.0
72,"{3: 1, 4: 0, '3*4': 0, 0: 1, 2: 1, '0*2': 1, 1: 1, '1*2': 1, '1*0*2': 1, 5: 0, '0*5': 0, '0*3': 0}",-10.071000000000005,1,0.0
73,"{3: 1, 4: 0, '3*4': 0, 0: 1, 2: 1, '0*2': 1, 1: 1, '1*2': 1, '1*0*2': 1, 5: 1, '0*5': 1, '0*3': 0}",-10.071000000000005,4,0.0
74,"{3: 1, 4: 0, '3*4': 0, 0: 1, 2: 1, '0*2': 1, 1: 1, '1*2': 1, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 1}",-10.071000000000009,2,0.0
75,"{3: 0, 4: 0, '3*4': 0, 0: 1, 2: 1, '0*2': 1, 1: 0, '1*2': 1, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 0}",-10.071000000000005,5,0.0
